Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0008%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-18 23:12:00,Crypto.com,Hyperliquid,0.0112,-0.0104,0.0216,1.08,0.32(0.0064%),0.76,0.076,0.23,False
2025-08-18 23:12:00,HTX,Hyperliquid,0.01,-0.0104,0.0204,1.02,0.32(0.0064%),0.7,0.07,0.21,False
2025-08-18 23:12:00,Gate,Hyperliquid,0.01,-0.0104,0.0204,1.02,0.32(0.0064%),0.7,0.07,0.21,False
2025-08-18 12:00:00,Hyperliquid,OKX,0.01,-0.0103,0.0203,1.01,0.32(0.0064%),0.69,0.0695,0.21,False
2025-08-18 12:00:00,HTX,OKX,0.01,-0.0103,0.0203,1.01,0.32(0.0064%),0.69,0.0695,0.21,False
2025-08-18 12:00:00,Gate,OKX,0.01,-0.0103,0.0203,1.01,0.32(0.0064%),0.69,0.0695,0.21,False
2025-08-18 04:00:00,Bitmex,Crypto.com,0.01,-0.0105,0.0205,1.02,0.32(0.0064%),0.7,0.0705,0.21,False
2025-08-18 04:00:00,HTX,Crypto.com,0.01,-0.0105,0.0205,1.02,0.32(0.0064%),0.7,0.0705,0.21,False
2025-08-18 04:00:00,Gate,Crypto.com,0.01,-0.0105,0.0205,1.02,0.32(0.0064%),0.7,0.0705,0.21,False
2025-08-18 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0105,0.0205,1.02,0.32(0.0064%),0.7,0.0705,0.21,False
2025-08-17 20:00:00,KuCoin,CoinEx,0.0312,0.0,0.0312,1.56,0.32(0.0064%),1.24,0.124,0.37,False
2025-08-17 20:00:00,KuCoin,Bybit,0.0312,0.0073,0.0239,1.19,0.32(0.0064%),0.87,0.0875,0.26,False
2025-08-17 20:00:00,KuCoin,Crypto.com,0.0312,0.0081,0.0231,1.15,0.32(0.0064%),0.83,0.0835,0.25,False
2025-08-17 20:00:00,KuCoin,OKX,0.0312,0.0086,0.0226,1.13,0.32(0.0064%),0.81,0.081,0.24,False
2025-08-17 20:00:00,KuCoin,MEXC,0.0312,0.0088,0.0224,1.12,0.32(0.0064%),0.8,0.08,0.24,False
2025-08-17 12:00:00,KuCoin,Gate,0.0313,-0.0061,0.0374,1.87,0.32(0.0064%),1.55,0.155,0.46,False
2025-08-17 12:00:00,KuCoin,OKX,0.0313,-0.0029,0.0342,1.71,0.32(0.0064%),1.39,0.139,0.42,False
2025-08-17 12:00:00,KuCoin,CoinEx,0.0313,0.0,0.0313,1.57,0.32(0.0064%),1.25,0.1245,0.37,False
2025-08-17 12:00:00,KuCoin,Bitget,0.0313,0.0012,0.0301,1.5,0.32(0.0064%),1.18,0.1185,0.36,False
2025-08-17 12:00:00,KuCoin,Crypto.com,0.0313,0.0014,0.0299,1.5,0.32(0.0064%),1.18,0.1175,0.35,False
2025-08-17 04:00:00,KuCoin,Gate,0.0655,-0.0039,0.0694,3.47,0.32(0.0064%),3.15,0.315,0.95,False
2025-08-17 04:00:00,KuCoin,CoinEx,0.0655,0.0,0.0655,3.27,0.32(0.0064%),2.96,0.2955,0.89,False
2025-08-17 04:00:00,KuCoin,OKX,0.0655,0.0026,0.0629,3.15,0.32(0.0064%),2.83,0.2825,0.85,False
2025-08-17 04:00:00,KuCoin,Bybit,0.0655,0.0057,0.0598,2.99,0.32(0.0064%),2.67,0.267,0.8,False
2025-08-17 04:00:00,KuCoin,Bitget,0.0655,0.006,0.0595,2.98,0.32(0.0064%),2.66,0.2655,0.8,False
2025-08-15 20:00:00,Bitmex,Crypto.com,0.01,-0.0336,0.0436,2.18,0.32(0.0064%),1.86,0.186,0.56,False
2025-08-15 20:00:00,Hyperliquid,Crypto.com,0.01,-0.0336,0.0436,2.18,0.32(0.0064%),1.86,0.186,0.56,False
2025-08-15 20:00:00,HTX,Crypto.com,0.01,-0.0336,0.0436,2.18,0.32(0.0064%),1.86,0.186,0.56,False
2025-08-15 20:00:00,Bitunix,Crypto.com,0.0062,-0.0336,0.0398,1.99,0.32(0.0064%),1.67,0.167,0.5,False
2025-08-15 20:00:00,Bitget,Crypto.com,0.0048,-0.0336,0.0384,1.92,0.32(0.0064%),1.6,0.16,0.48,False
2025-08-14 12:00:00,CoinEx,KuCoin,0.0269,-0.0047,0.0316,1.58,0.32(0.0064%),1.26,0.126,0.38,False
2025-08-14 12:00:00,Crypto.com,KuCoin,0.0187,-0.0047,0.0234,1.17,0.32(0.0064%),0.85,0.085,0.25,False
2025-08-14 04:00:00,Crypto.com,Bitmex,0.0597,0.01,0.0497,2.49,0.32(0.0064%),2.17,0.2165,0.65,False
2025-08-14 04:00:00,Crypto.com,HTX,0.0597,0.01,0.0497,2.49,0.32(0.0064%),2.17,0.2165,0.65,False
2025-08-14 04:00:00,Crypto.com,Gate,0.0597,0.01,0.0497,2.49,0.32(0.0064%),2.17,0.2165,0.65,False
2025-08-14 04:00:00,Crypto.com,Bybit,0.0597,0.0148,0.0449,2.25,0.32(0.0064%),1.93,0.1925,0.58,False
2025-08-14 04:00:00,Crypto.com,OKX,0.0597,0.0185,0.0412,2.06,0.32(0.0064%),1.74,0.174,0.52,False
2025-08-13 20:00:00,Hyperliquid,Bitmex,0.0489,0.01,0.0389,1.94,0.32(0.0064%),1.62,0.1625,0.49,False
2025-08-13 20:00:00,Hyperliquid,Binance,0.0489,0.01,0.0389,1.94,0.32(0.0064%),1.62,0.1625,0.49,False
2025-08-13 20:00:00,Hyperliquid,Bybit,0.0489,0.01,0.0389,1.94,0.32(0.0064%),1.62,0.1625,0.49,False
2025-08-13 20:00:00,Hyperliquid,Gate,0.0489,0.01,0.0389,1.94,0.32(0.0064%),1.62,0.1625,0.49,False
2025-08-13 20:00:00,Hyperliquid,Bitget,0.0489,0.01,0.0389,1.94,0.32(0.0064%),1.62,0.1625,0.49,False
2025-08-13 12:00:00,Crypto.com,Bitmex,0.0465,0.01,0.0365,1.82,0.32(0.0064%),1.5,0.1505,0.45,False
2025-08-13 12:00:00,Crypto.com,Binance,0.0465,0.01,0.0365,1.82,0.32(0.0064%),1.5,0.1505,0.45,False
2025-08-13 12:00:00,Crypto.com,Bybit,0.0465,0.01,0.0365,1.82,0.32(0.0064%),1.5,0.1505,0.45,False
2025-08-13 12:00:00,Crypto.com,HTX,0.0465,0.01,0.0365,1.82,0.32(0.0064%),1.5,0.1505,0.45,False
2025-08-13 12:00:00,Crypto.com,Bitget,0.0465,0.01,0.0365,1.82,0.32(0.0064%),1.5,0.1505,0.45,False
2025-08-12 20:00:00,Hyperliquid,CoinEx,0.045,0.0001,0.0449,2.24,0.32(0.0064%),1.92,0.1925,0.58,False
2025-08-12 20:00:00,Hyperliquid,Gate,0.045,0.0068,0.0382,1.91,0.32(0.0064%),1.59,0.159,0.48,False
2025-08-12 20:00:00,Crypto.com,CoinEx,0.0355,0.0001,0.0354,1.77,0.32(0.0064%),1.45,0.145,0.43,False
2025-08-12 20:00:00,Hyperliquid,MEXC,0.045,0.01,0.035,1.75,0.32(0.0064%),1.43,0.143,0.43,False
2025-08-12 20:00:00,Hyperliquid,HTX,0.045,0.01,0.035,1.75,0.32(0.0064%),1.43,0.143,0.43,False
2025-08-12 12:00:00,Bitmex,Crypto.com,0.01,-0.0247,0.0347,1.74,0.32(0.0064%),1.42,0.1415,0.42,False
2025-08-12 12:00:00,HTX,Crypto.com,0.01,-0.0247,0.0347,1.74,0.32(0.0064%),1.42,0.1415,0.42,False
2025-08-12 12:00:00,Gate,Crypto.com,0.01,-0.0247,0.0347,1.74,0.32(0.0064%),1.42,0.1415,0.42,False
2025-08-12 12:00:00,Hyperliquid,Crypto.com,0.01,-0.0247,0.0347,1.74,0.32(0.0064%),1.42,0.1415,0.42,False
2025-08-12 12:00:00,KuCoin,Crypto.com,0.0081,-0.0247,0.0328,1.64,0.32(0.0064%),1.32,0.132,0.4,False
2025-08-12 04:00:00,KuCoin,Crypto.com,0.0109,-0.0112,0.0221,1.1,0.32(0.0064%),0.78,0.0785,0.24,False
2025-08-12 04:00:00,Gate,Crypto.com,0.01,-0.0112,0.0212,1.06,0.32(0.0064%),0.74,0.074,0.22,False
2025-08-12 04:00:00,Bitmex,Crypto.com,0.01,-0.0112,0.0212,1.06,0.32(0.0064%),0.74,0.074,0.22,False
2025-08-12 04:00:00,HTX,Crypto.com,0.01,-0.0112,0.0212,1.06,0.32(0.0064%),0.74,0.074,0.22,False
2025-08-12 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0112,0.0212,1.06,0.32(0.0064%),0.74,0.074,0.22,False
2025-08-11 04:00:00,Crypto.com,CoinEx,0.0247,0.0042,0.0205,1.02,0.32(0.0064%),0.7,0.0705,0.21,False
2025-08-10 20:00:00,Crypto.com,CoinEx,0.0274,0.0044,0.023,1.15,0.32(0.0064%),0.83,0.083,0.25,False
2025-08-10 04:00:00,KuCoin,CoinEx,0.0227,0.0,0.0227,1.14,0.32(0.0064%),0.81,0.0815,0.24,False
2025-08-10 04:00:00,Crypto.com,CoinEx,0.0209,0.0,0.0209,1.04,0.32(0.0064%),0.72,0.0725,0.22,False
2025-08-09 20:00:00,KuCoin,CoinEx,0.038,0.0088,0.0292,1.46,0.32(0.0064%),1.14,0.114,0.34,False
2025-08-09 20:00:00,KuCoin,MEXC,0.038,0.0097,0.0283,1.42,0.32(0.0064%),1.09,0.1095,0.33,False
2025-08-09 20:00:00,KuCoin,Binance,0.038,0.0097,0.0283,1.42,0.32(0.0064%),1.09,0.1095,0.33,False
2025-08-09 20:00:00,KuCoin,Bitunix,0.038,0.0098,0.0282,1.41,0.32(0.0064%),1.09,0.109,0.33,False
2025-08-09 20:00:00,KuCoin,BingX,0.038,0.01,0.028,1.4,0.32(0.0064%),1.08,0.108,0.32,False
2025-08-09 12:00:00,KuCoin,Binance,0.0341,0.0077,0.0264,1.32,0.32(0.0064%),1.0,0.1,0.3,False
2025-08-09 12:00:00,Crypto.com,Binance,0.0341,0.0077,0.0264,1.32,0.32(0.0064%),1.0,0.1,0.3,False
2025-08-09 12:00:00,Crypto.com,Bitunix,0.0341,0.0077,0.0264,1.32,0.32(0.0064%),1.0,0.1,0.3,False
2025-08-09 12:00:00,KuCoin,MEXC,0.0341,0.0077,0.0264,1.32,0.32(0.0064%),1.0,0.1,0.3,False
2025-08-09 12:00:00,KuCoin,Bitunix,0.0341,0.0077,0.0264,1.32,0.32(0.0064%),1.0,0.1,0.3,False
2025-08-09 04:00:00,KuCoin,CoinEx,0.025,0.0,0.025,1.25,0.32(0.0064%),0.93,0.093,0.28,False
2025-08-09 04:00:00,Crypto.com,CoinEx,0.0207,0.0,0.0207,1.03,0.32(0.0064%),0.71,0.0715,0.21,False
2025-08-08 20:00:00,Crypto.com,Hyperliquid,0.0316,-0.0009,0.0325,1.62,0.32(0.0064%),1.3,0.1305,0.39,False
2025-08-08 20:00:00,Crypto.com,CoinEx,0.0316,0.0,0.0316,1.58,0.32(0.0064%),1.26,0.126,0.38,False
2025-08-08 20:00:00,Crypto.com,Bybit,0.0316,0.0071,0.0245,1.22,0.32(0.0064%),0.9,0.0905,0.27,False
2025-08-08 20:00:00,KuCoin,Hyperliquid,0.0235,-0.0009,0.0244,1.22,0.32(0.0064%),0.9,0.09,0.27,False
2025-08-08 20:00:00,KuCoin,CoinEx,0.0235,0.0,0.0235,1.18,0.32(0.0064%),0.85,0.0855,0.26,False
2025-08-08 12:00:00,Crypto.com,Bybit,0.0423,-0.0007,0.043,2.15,0.32(0.0064%),1.83,0.183,0.55,False
2025-08-08 12:00:00,Crypto.com,CoinEx,0.0423,0.0,0.0423,2.11,0.32(0.0064%),1.79,0.1795,0.54,False
2025-08-08 12:00:00,Crypto.com,Hyperliquid,0.0423,0.0021,0.0402,2.01,0.32(0.0064%),1.69,0.169,0.51,False
2025-08-08 12:00:00,Crypto.com,Bitunix,0.0423,0.0028,0.0395,1.98,0.32(0.0064%),1.66,0.1655,0.5,False
2025-08-08 12:00:00,Crypto.com,MEXC,0.0423,0.0029,0.0394,1.97,0.32(0.0064%),1.65,0.165,0.49,False
2025-08-08 04:00:00,KuCoin,Crypto.com,0.011,-0.0444,0.0554,2.77,0.32(0.0064%),2.45,0.245,0.74,False
2025-08-08 04:00:00,Bybit,Crypto.com,0.01,-0.0444,0.0544,2.72,0.32(0.0064%),2.4,0.24,0.72,False
2025-08-08 04:00:00,Bitmex,Crypto.com,0.01,-0.0444,0.0544,2.72,0.32(0.0064%),2.4,0.24,0.72,False
2025-08-08 04:00:00,HTX,Crypto.com,0.01,-0.0444,0.0544,2.72,0.32(0.0064%),2.4,0.24,0.72,False
2025-08-08 04:00:00,BingX,Crypto.com,0.01,-0.0444,0.0544,2.72,0.32(0.0064%),2.4,0.24,0.72,False
2025-08-07 12:00:00,Crypto.com,Bitmex,0.0204,-0.0016,0.022,1.1,0.32(0.0064%),0.78,0.078,0.23,False
2025-08-07 12:00:00,Crypto.com,CoinEx,0.0204,0.0,0.0204,1.02,0.32(0.0064%),0.7,0.07,0.21,False
2025-08-05 20:00:00,Crypto.com,Binance,0.019,-0.0068,0.0258,1.29,0.32(0.0064%),0.97,0.097,0.29,False
2025-08-05 20:00:00,Crypto.com,MEXC,0.019,-0.0068,0.0258,1.29,0.32(0.0064%),0.97,0.097,0.29,False
2025-08-05 20:00:00,Crypto.com,OKX,0.019,-0.006,0.025,1.25,0.32(0.0064%),0.93,0.093,0.28,False
2025-08-05 20:00:00,Crypto.com,Bybit,0.019,-0.0039,0.0229,1.15,0.32(0.0064%),0.82,0.0825,0.25,False
2025-08-05 20:00:00,Crypto.com,KuCoin,0.019,-0.0036,0.0226,1.13,0.32(0.0064%),0.81,0.081,0.24,False
2025-08-04 20:00:00,KuCoin,HTX,0.0129,-0.0097,0.0226,1.13,0.32(0.0064%),0.81,0.081,0.24,False
2025-08-04 20:00:00,KuCoin,Bitget,0.0129,-0.0082,0.0211,1.05,0.32(0.0064%),0.73,0.0735,0.22,False
2025-08-04 04:00:00,Bitmex,Crypto.com,0.01,-0.0114,0.0214,1.07,0.32(0.0064%),0.75,0.075,0.22,False
2025-08-04 04:00:00,Bitmex,Bybit,0.01,-0.0104,0.0204,1.02,0.32(0.0064%),0.7,0.07,0.21,False
2025-08-03 20:00:00,Bitunix,Hyperliquid,0.0143,-0.0176,0.0319,1.59,0.32(0.0064%),1.27,0.1275,0.38,False
2025-08-03 20:00:00,Bitunix,OKX,0.0143,-0.0163,0.0306,1.53,0.32(0.0064%),1.21,0.121,0.36,False
2025-08-03 20:00:00,Bitunix,Binance,0.0143,-0.0145,0.0288,1.44,0.32(0.0064%),1.12,0.112,0.34,False
2025-08-03 20:00:00,Bitunix,MEXC,0.0143,-0.0143,0.0286,1.43,0.32(0.0064%),1.11,0.111,0.33,False
2025-08-03 20:00:00,Bitmex,Hyperliquid,0.01,-0.0176,0.0276,1.38,0.32(0.0064%),1.06,0.106,0.32,False
2025-08-03 12:00:00,Bitmex,Hyperliquid,0.01,-0.0135,0.0235,1.18,0.32(0.0064%),0.85,0.0855,0.26,False
2025-08-03 12:00:00,Bitunix,Hyperliquid,0.0075,-0.0135,0.021,1.05,0.32(0.0064%),0.73,0.073,0.22,False
2025-08-03 12:00:00,HTX,Hyperliquid,0.0073,-0.0135,0.0208,1.04,0.32(0.0064%),0.72,0.072,0.22,False
2025-08-03 12:00:00,Bitmex,OKX,0.01,-0.0102,0.0202,1.01,0.32(0.0064%),0.69,0.069,0.21,False
2025-08-02 20:00:00,Bitunix,Crypto.com,0.0101,-0.0219,0.032,1.6,0.32(0.0064%),1.28,0.128,0.38,False
2025-08-02 20:00:00,HTX,Crypto.com,0.01,-0.0219,0.0319,1.59,0.32(0.0064%),1.27,0.1275,0.38,False
2025-08-02 20:00:00,Bitmex,Crypto.com,0.01,-0.0219,0.0319,1.59,0.32(0.0064%),1.27,0.1275,0.38,False
2025-08-02 20:00:00,Hyperliquid,Crypto.com,0.01,-0.0219,0.0319,1.59,0.32(0.0064%),1.27,0.1275,0.38,False
2025-08-02 20:00:00,CoinEx,Crypto.com,0.0,-0.0219,0.0219,1.09,0.32(0.0064%),0.77,0.0775,0.23,False
2025-08-02 12:00:00,Bitmex,Crypto.com,0.01,-0.0295,0.0395,1.98,0.32(0.0064%),1.66,0.1655,0.5,False
2025-08-02 12:00:00,HTX,Crypto.com,0.01,-0.0295,0.0395,1.98,0.32(0.0064%),1.66,0.1655,0.5,False
2025-08-02 12:00:00,Bybit,Crypto.com,0.01,-0.0295,0.0395,1.98,0.32(0.0064%),1.66,0.1655,0.5,False
2025-08-02 12:00:00,Hyperliquid,Crypto.com,0.01,-0.0295,0.0395,1.98,0.32(0.0064%),1.66,0.1655,0.5,False
2025-08-02 12:00:00,BingX,Crypto.com,0.01,-0.0295,0.0395,1.98,0.32(0.0064%),1.66,0.1655,0.5,False
2025-08-02 04:00:00,Bitmex,Crypto.com,0.01,-0.0158,0.0258,1.29,0.32(0.0064%),0.97,0.097,0.29,False
2025-08-02 04:00:00,HTX,Crypto.com,0.01,-0.0158,0.0258,1.29,0.32(0.0064%),0.97,0.097,0.29,False
2025-08-02 04:00:00,Bybit,Crypto.com,0.01,-0.0158,0.0258,1.29,0.32(0.0064%),0.97,0.097,0.29,False
2025-08-02 04:00:00,Hyperliquid,Crypto.com,0.0089,-0.0158,0.0247,1.23,0.32(0.0064%),0.91,0.0915,0.27,False
2025-08-02 04:00:00,BingX,Crypto.com,0.0052,-0.0158,0.021,1.05,0.32(0.0064%),0.73,0.073,0.22,False
2025-08-01 20:00:00,Bitmex,Hyperliquid,0.01,-0.0219,0.0319,1.59,0.32(0.0064%),1.27,0.1275,0.38,False
2025-08-01 20:00:00,HTX,Hyperliquid,0.01,-0.0219,0.0319,1.59,0.32(0.0064%),1.27,0.1275,0.38,False
2025-08-01 20:00:00,Bitunix,Hyperliquid,0.0036,-0.0219,0.0255,1.27,0.32(0.0064%),0.95,0.0955,0.29,False
2025-08-01 20:00:00,Bitmex,Crypto.com,0.01,-0.0123,0.0223,1.11,0.32(0.0064%),0.79,0.0795,0.24,False
2025-08-01 20:00:00,HTX,Crypto.com,0.01,-0.0123,0.0223,1.11,0.32(0.0064%),0.79,0.0795,0.24,False
2025-08-01 04:00:00,KuCoin,Crypto.com,0.0104,-0.0285,0.0389,1.95,0.32(0.0064%),1.62,0.1625,0.49,False
2025-08-01 04:00:00,HTX,Crypto.com,0.01,-0.0285,0.0385,1.92,0.32(0.0064%),1.6,0.1605,0.48,False
2025-08-01 04:00:00,Bitmex,Crypto.com,0.01,-0.0285,0.0385,1.92,0.32(0.0064%),1.6,0.1605,0.48,False
2025-08-01 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0285,0.0385,1.92,0.32(0.0064%),1.6,0.1605,0.48,False
2025-08-01 04:00:00,Bybit,Crypto.com,0.0072,-0.0285,0.0357,1.78,0.32(0.0064%),1.46,0.1465,0.44,False
2025-07-31 04:00:00,Crypto.com,OKX,0.0196,-0.0049,0.0245,1.22,0.32(0.0064%),0.9,0.0905,0.27,False
2025-07-31 04:00:00,KuCoin,OKX,0.0167,-0.0049,0.0216,1.08,0.32(0.0064%),0.76,0.076,0.23,False
2025-07-31 04:00:00,Crypto.com,Gate,0.0196,-0.0015,0.0211,1.05,0.32(0.0064%),0.73,0.0735,0.22,False
2025-07-30 04:00:00,CoinEx,Bitget,0.0275,0.0012,0.0263,1.31,0.32(0.0064%),0.99,0.0995,0.3,False
2025-07-30 04:00:00,CoinEx,OKX,0.0275,0.0025,0.025,1.25,0.32(0.0064%),0.93,0.093,0.28,False
2025-07-30 04:00:00,CoinEx,Bybit,0.0275,0.0042,0.0233,1.17,0.32(0.0064%),0.84,0.0845,0.25,False
2025-07-29 12:00:00,CoinEx,Crypto.com,0.024,0.0016,0.0224,1.12,0.32(0.0064%),0.8,0.08,0.24,False
2025-07-29 12:00:00,CoinEx,Bitget,0.024,0.0027,0.0213,1.06,0.32(0.0064%),0.74,0.0745,0.22,False
2025-07-29 04:00:00,CoinEx,Crypto.com,0.0229,-0.0014,0.0243,1.22,0.32(0.0064%),0.9,0.0895,0.27,False
2025-07-29 04:00:00,CoinEx,MEXC,0.0229,0.0008,0.0221,1.1,0.32(0.0064%),0.78,0.0785,0.24,False
2025-07-29 04:00:00,CoinEx,Binance,0.0229,0.0008,0.0221,1.1,0.32(0.0064%),0.78,0.0785,0.24,False
2025-07-29 04:00:00,CoinEx,Bitunix,0.0229,0.0009,0.022,1.1,0.32(0.0064%),0.78,0.078,0.23,False
2025-07-29 04:00:00,CoinEx,Bybit,0.0229,0.0015,0.0214,1.07,0.32(0.0064%),0.75,0.075,0.22,False
2025-07-28 12:00:00,KuCoin,Bitmex,0.0345,0.01,0.0245,1.22,0.32(0.0064%),0.9,0.0905,0.27,False
